Rank,Song[A],Streams(billions),Artist(s),Release date,Ref(s)
1,"""Blinding Lights""",3.374,The Weeknd,29 November 2019,[8][9]
2,"""Shape of You""",3.354,Ed Sheeran,6 January 2017,[10]
3,"""Dance Monkey""",2.742,Tones And I,10 May 2019,[11]
4,"""Someone You Loved""",2.624,Lewis Capaldi,8 November 2018,[12]
5,"""Rockstar""",2.589,Post Malone featuring 21 Savage,15 September 2017,[13]
6,"""Sunflower""",2.531,Post Malone and Swae Lee,18 October 2018,[14][12]
7,"""One Dance""",2.516,Drake featuring Wizkid and Kyla,5 April 2016,[15][16]
8,"""Closer""",2.451,The Chainsmokers featuring Halsey,29 July 2016,[17][18]
9,"""Believer""",2.360,Imagine Dragons,1 February 2017,[19][20]
10,"""Stay""",2.351,The Kid Laroi and Justin Bieber,9 July 2021,[21]
11,"""Señorita""",2.330,Shawn Mendes and Camila Cabello,21 June 2019,[22][23]
12,"""Perfect""",2.303,Ed Sheeran,3 March 2017,[8]
13,"""Heat Waves""",2.248,Glass Animals,29 June 2020,[24][25]
14,"""Say You Won't Let Go""",2.222,James Arthur,9 September 2016,[26][27]
15,"""Bad Guy""",2.198,Billie Eilish,29 March 2019,[28][29]
16,"""Starboy""",2.166,The Weeknd featuring Daft Punk,21 September 2016,[30][9]
17,"""Thinking Out Loud""",2.149,Ed Sheeran,20 June 2014,[8]
18,"""Lucid Dreams""",2.143,Juice WRLD,4 May 2018,[31][32]
19,"""Don't Start Now""",2.129,Dua Lipa,1 November 2019,[33][34]
20,"""Lovely""",2.100,Billie Eilish and Khalid,19 April 2018,[35][29]
21,"""God's Plan""",2.098,Drake,19 January 2018,[16]
22,"""Watermelon Sugar""",2.087,Harry Styles,15 May 2020,[36][37]
23,"""Photograph""",2.061,Ed Sheeran,20 June 2014,[8]
24,"""Bohemian Rhapsody""",2.030,Queen,31 October 1975,[38][39]
25,"""Something Just Like This""",2.024,The Chainsmokers and Coldplay,22 February 2017,[18]
26,"""Shallow""",1.997,Lady Gaga and Bradley Cooper,27 September 2018,[40][41]
27,"""Love Yourself""",1.970,Justin Bieber,9 November 2015,[21]
28,"""Sad!""",1.963,XXXTentacion,1 March 2018,[42][43]
29,"""Sweater Weather""",1.960,The Neighbourhood,28 March 2012,[44]
30,"""Circles""",1.952,Post Malone,30 August 2019,[12]
31,"""Take Me to Church""",1.943,Hozier,13 September 2013,[45][46]
32,"""All of Me""",1.938,John Legend,12 August 2013,[47][48]
33,"""Thunder""",1.894,Imagine Dragons,27 April 2017,[20]
34,"""7 Rings""",1.890,Ariana Grande,18 January 2019,[49][50]
35,"""Goosebumps""",1.883,Travis Scott featuring Kendrick Lamar,2 September 2016,[51]
36,"""Jocelyn Flores""",1.879,XXXTentacion,31 October 2017,[43]
37,"""Havana""",1.845,Camila Cabello featuring Young Thug,3 August 2017,[52][53]
38,"""As It Was""",1.836,Harry Styles,1 April 2022,[54][37]
39,"""Stressed Out""",1.828,Twenty One Pilots,28 April 2015,[55]
40,"""XO Tour Llif3""",1.823,Lil Uzi Vert,24 March 2017,[56][57]
41,"""New Rules""",1.803,Dua Lipa,2 June 2017,[58][34]
42,"""Counting Stars""",1.797,OneRepublic,25 March 2013,[59][60]
43,"""Happier""",1.794,Marshmello and Bastille,17 August 2018,[61][62]
44,"""Wake Me Up""",1.784,Avicii,17 June 2013,[63][64]
45,"""Humble""",1.781,Kendrick Lamar,30 March 2017,[65][66]
46,"""Let Her Go""",1.779,Passenger,24 July 2012,[67][68]
47,"""Sicko Mode""",1.771,Travis Scott featuring Drake,3 August 2018,[51]
48,"""Riptide""",1.770,Vance Joy,21 May 2013,[69][70]
49,"""The Hills""",1.754,The Weeknd,27 May 2015,[71][9]
50,"""Sorry""",1.736,Justin Bieber,22 October 2015,[72][21]
51,"""Can't Hold Us""",1.733,Macklemore & Ryan Lewis featuring Ray Dalton,16 August 2011,[73][74]
52,"""Good 4 U""",1.726,Olivia Rodrigo,14 May 2021,[75][76]
53,"""Let Me Love You""",1.720,DJ Snake featuring Justin Bieber,5 August 2016,[77][78]
54,"""One Kiss""",1.711,Calvin Harris and Dua Lipa,6 April 2018,[79][34]
55,"""Lean On""",1.710,Major Lazer and DJ Snake featuring MØ,2 March 2015,[80][78]
56,"""Roses (Imanbek Remix)""",1.704,Saint Jhn with Imanbek,18 September 2019,[81][82]
57,"""Drivers License""",1.696,Olivia Rodrigo,8 January 2021,[83][76]
58,"""Treat You Better""",1.691,Shawn Mendes,3 June 2016,[23]
59,"""Better Now""",1.691,Post Malone,27 April 2018,[84][12]
60,"""Congratulations""",1.681,Post Malone featuring Quavo,4 November 2016,[12]
61,"""Faded""",1.679,Alan Walker,3 December 2015,[85][86]
62,"""Stay with Me""",1.676,Sam Smith,14 April 2014,[87][88]
63,"""Without Me""",1.661,Halsey,4 October 2018,[89][90]
64,"""Industry Baby""",1.650,Lil Nas X featuring Jack Harlow,23 July 2021,[91][92]
65,"""Uptown Funk""",1.649,Mark Ronson featuring Bruno Mars,10 November 2014,[93][94]
66,"""Don't Let Me Down""",1.647,The Chainsmokers featuring Daya,5 February 2016,[18]
67,"""I Took a Pill in Ibiza (Seeb Remix)""",1.646,Mike Posner and Seeb,14 April 2015,[95][96]
68,"""Memories""",1.646,Maroon 5,20 September 2019,[97][98]
69,"""Too Good at Goodbyes""",1.640,Sam Smith,8 September 2017,[99][88]
70,"""Mr. Brightside""",1.640,The Killers,7 June 2004,[100][101]
71,"""Demons""",1.636,Imagine Dragons,4 September 2012,[20]
72,"""Lose Yourself""",1.635,Eminem,28 October 2002,[102][103]
73,"""I Don't Care""",1.631,Ed Sheeran and Justin Bieber,10 May 2019,[104][21]
74,"""Thank U, Next""",1.630,Ariana Grande,3 November 2018,[105][50]
75,"""Levitating""",1.626,Dua Lipa featuring DaBaby,1 October 2020,[106][107]
76,"""Dakiti""",1.614,Bad Bunny and Jhay Cortez,30 October 2020,[108]
77,"""Montero (Call Me by Your Name)""",1.613,Lil Nas X,26 March 2021,[109][92]
78,"""Mood""",1.606,24kGoldn and Iann Dior,24 July 2020,[110]
79,"""Despacito (Remix)""",1.592,Luis Fonsi and Daddy Yankee featuring Justin Bieber,17 April 2017,[111][112]
80,"""Unforgettable""",1.591,French Montana featuring Swae Lee,7 April 2017,[113][34]
81,"""Do I Wanna Know?""",1.581,Arctic Monkeys,19 June 2013,[114][115]
82,"""Dynamite""",1.577,BTS,21 August 2020,[116][117]
83,"""Moonlight""",1.576,XXXTentacion,16 March 2018,[43]
84,"""The Box""",1.564,Roddy Ricch,6 December 2019,[118][119]
85,"""Wonderwall""",1.563,Oasis,30 October 1995,[120][121]
86,"""That's What I Like""",1.557,Bruno Mars,18 November 2016,[122][123]
87,"""'Till I Collapse""",1.542,Eminem featuring Nate Dogg,26 May 2002,[124][103]
88,"""There's Nothing Holdin' Me Back""",1.540,Shawn Mendes,20 April 2017,[125][23]
89,"""No Role Modelz""",1.536,J. Cole,4 August 2014,[126][127]
90,"""Cheap Thrills""",1.535,Sia,29 January 2016,[128][129]
91,"""Stitches""",1.530,Shawn Mendes,14 April 2015,[130][23]
92,"""See You Again""",1.517,Wiz Khalifa featuring Charlie Puth,10 March 2015,[131][132]
93,"""Smells Like Teen Spirit""",1.514,Nirvana,10 September 1991,[133][134]
94,"""I Like Me Better""",1.510,Lauv,19 May 2017,[135][136]
95,"""7 Years""",1.508,Lukas Graham,16 June 2015,[137][138]
96,"""I'm Yours""",1.507,Jason Mraz,12 February 2008,[139][140]
97,"""Despacito""",1.503,Luis Fonsi featuring Daddy Yankee,12 January 2017,[141][112]
98,"""Girls Like You""",1.500,Maroon 5 featuring Cardi B[B],30 May 2018,[142]
99,"""Sugar""",1.498,Maroon 5,29 August 2014,[143][144]
100,"""Youngblood""",1.489,5 Seconds of Summer,12 April 2018,[145][146]
As of 25 January 2023,As of 25 January 2023,As of 25 January 2023,As of 25 January 2023,As of 25 January 2023,
